registrasi,nama_yayasan,alamat,rt,rw,kelurahan,kecamatan,kota_administrasi,no_telepon,pengurus,kegiatan,masa_berlaku
014.31.71.04.1002.02,LANTAN BENTALA,Jl. Narada No. 54,14,8,Tanah Tinggi,Johar Baru,Jakarta Pusat,021 3914192,Evelyn Suleeman,Sosial dan Kemanusiaan ,09 Januari 2014 s/d 08 Januari 2019
014.31.71.07.1002.03,PUTRA NUSA,Jl. Penjernihan 1 No. 11,,,Bendungan Hilir,Tanah Abang,Jakarta Pusat,,H.Abdullah.Tr,Sosial Kemanusiaan Dan Keagamaan ,20 Januari 2014 s/d 19 Januari 2019
014.31.71.01.1003.003,MAF INDONESIA,Gajah Mada Tower Unit Kantor 05 A Ly.22,,,Petojo Utara,Gambir,Jakarta Pusat,,Jastin Koens,Sosial Kemanusiaan Dan Keagamaan,20 Januari 2014 s/d 19 Januari 2019
014.31.71.07.1006.005,AL-BAROKAH QOLBUN SALIM,Jl. Kh.Mas Mamsyur 25 A,10,10,Kebon Kacang,Tanah Abang,Jakarta Pusat,,Drs.H.Endang Ruchimat,Sosial Kemanusiaan Dan Keagamaan,13 Januari 2014 s/d 12 Januari 2019
014.31.71.07.1005.006, PEMIMPIN ANAK BANGSA,Jl. Tenaga Listrik No.14,15,16,Kebon Melati,Tanah Abang,Jakarta Pusat,,Aulia Handayani Retnaika,Sosial dan Kemanusiaan,15 Januari 2014 s/d 14 Januari 2019
014.31.71.06.1002.007,TUNAS MUDA IKATAN KESEJAHTERAAN KELUARGA TENTARA,Jl. Proklamasi No.33,,,Pegangsaan,Menteng,Jakarta Pusat,,Vasti Fatimah ,"Pendidikan, Sosial",20 Februari 2014 s/d 19 Februari 2019
014.31.71.04.1002.008,SOSIAL KESEJAHTERAAN PEKERJA GEREJA KEMAH INJIL INDONESIA,JL. Kramat VIII/Jambrut No. 24,,,Kenari,Senen,Jakarta Pusat,021 3914192,Toto Setyo Adi Murdiono,Sosial dan Kemanusiaan,15 Maret 2014 s/d 04 Maret 2019
014.31.71.04.1003.008,ORSOS AISYIYAH JAKARTA PUSAT,Jl. Salemba Bluntas No.1/77,11,5,Paseban,Senen,Jakarta Pusat,,Dra.Hj.Bahniar Ibrahim,"Sosial Pendidikan, Keagamaan Dan Kesehatan",27 Februari 2014 s/d 26 Februari 2019
014.31.71.08.1004.009,PELANGI INDONESIA MULIA,Jl. Sadena Bluntas I/77,11,5,Paseban,Senen,Jakarta Pusat,,"Stefanus Alpha, S.Kom","Sosial Pendidikan, Keagamaan Dan Kesehatan",13 Maret 2014 s/d 12 Maret 2019
014.31.71.07.1002.010,LEMBAGA PENDIDIKAN GEMILANG,"Wisma GKBI 17 TH Floor Suite 1702, Jl. Jend. Sudirman No. 28",,,Bendungan Hilir,Tanah Abang,Jakarta Pusat,,Kim Kyung Jung,Sosial dan Kemanusiaan,14 Maret 2014 s/d 13 Maret 2019
014.31.71.07.1006.011,PEWARIS NEGERI MADANI,Jl. Kenon Kacang 23 No. 17 B,6,3,Kebon Kacang,Tanah Abang,Jakarta Pusat,,"Muhadis, S.Kom",Sosial Kemanusiaan Dan Keagamaan,14 Maret 2014 s/d 13 Maret 2019
014.31.71.05.1002.012,PERGURUAN KSATRYA LIMA SATU,Jl. Percetakan Negara D.232,4,6,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,0813 81652745,Herawati,Pendidikan dan Sosial ,14 Maret 2014 s/d 13 Maret 2019
014.31.71.06.1004.013,KASIH ANAK BANGSA,Jl.. H. Agus Salim No. 112,2,5,Gondangdia,Menteng,Jakarta Pusat,021 31936250,Sherly,Pendidikan,28 Maret 2014 s/d 27 Maret 2019
014.31.71.07.1005.014,ASA ASIA,"Gedung Thamrin City Lt. 5 OS 18 A, Jl. Thamrin Boule Vara",,,,Kebon Melati,Jakarta Pusat,,Endy Ngabito ,Sosial Kemanusiaan Dan Keagamaan,28 Maret 2014 s/d 27 Maret 2019
014.31.71.06.1002.015,PEMBINA KESEJAHTERAA KELUARGA BESAR PERINTIS KEMERDEKAAN INDONESIA,JL. Proklamasi No. 56,,,Pegangsaan,Menteng,Jakarta Pusat,,Abdul Majid Ratu,Sosial Kemanusiaan Dan Keagamaan,28 Maret 2014 s/d 27 Maret 2019
014.31.71.01.1006.16,NURUSSAMANIYAH,Jl. Duri Pulo I,1,3,Duri Pulo,Gambir,Jakarta Pusat,,H. Sonny Sudrajat,Sosial Kemanusiaan Dan Keagamaan,25 April 2014 s/d 24 April 2019
014.31.71.06.1005.17,PELITA ANGLIKAN INDONESIA,Jl. Arif Rahman Hakim No. 5,,,Kebon Sirih,Menteng,Jakarta Pusat,021 31908545,Hailam Syah Teddy,Sosial Kemanusiaan Dan Keagamaan,07 Mei 2014 s/d 06 Mei 2019
014.31.71.08.1001.18,CINTA BANGSA DELAPAN TIGA,Jl. Percetakan Negara II/14,10,6,Johar Baru,Johar Baru,Jakarta Pusat,0812 830819999,"Dra. Magdalena Hilda Kartini, M.Si","Keagamaan, Sosial dan Kemanusiaan",12 Mei 2014 s/d 11 Mei 2019
014.31.71.06.1004.19,BEASISWA MARUBENI,"Sinar Mas Land Plaza Menara 2 Lt. 11, JL. M.H. Thamrin Kav. 51",8,4,Gondangdia,Menteng,Jakarta Pusat,021 3921777,Akinobu Mizumoto,Sosial,12 Mei 2014 s/d 11 Mei 2019
014.31.71.03.1001.20,IKHLASHULQOLBI,Gg. Mantri I No. 121,8,9,Kemayoran,Kemayoran,Jakarta Pusat,021 4260624,Dra. Hj. Vivi Zafrin A Lubis,"Keagamaan, Sosial dan Kemanusiaan",16 Mei 2014 s/d 15 Mei 2019
014.31.71.05.1003.21,BINA INSAN KAMLI PRAMUKA,Jl. Pramuka Sari II No. 10,8,8,Rawasari,Cempaka Putih,Jakarta Pusat,021 4222717 - 021 4264636,TB. Moh. Zainal Muttaqin,Sosial Kemanusiaan Dan Keagamaan,19 Mei 2014 s/d 18 Mei 2019
014.31.71.03.1001.22,PENDIDIKAN ISLAM AN-NUR KEMAYORAN,Jl. Kepu Dalam VII/114,7,3,Kemayoran,Kemayoran,Jakarta Pusat,021 4248464,Dr. Dian Faiz,Sosial dan Keagamaan,19 Mei 2014 s/d 18 Mei 2019
014.31.71.07.1002.23,PENANGGULANGAN KRISIS INTERNASIONAL,Jl. Danau Laut Tawar No. 53,3,4,Bendungan Hilir,Tanah Abang,Jakarta Pusat,021 5701278,Sidney R. Jones,Sosial,23 Mei 2014 s/d 22 Mei 2019
014.31.71.07.1001.24,PUSAT PENGEMBANGAN SUMBER DAYA ALAM,"Gd. Manggala Wanabakti Blok IV Lt. 7 Ruang 715 Wing B, Jl. Jend. Gatot Subroto Senayan",,,Gelora,Tanah Abang,Jakarta Pusat,021 5703246,Dr. Ir. H. Irsyal Yasman,Sosial dan Kemanusiaan ,23 Mei 2014 s/d 22 Mei 2019
014.31.71.04.1006.25,MASJID MERANTI,Jl. Kalibaru Timur No. 15 B,12,8,Bungur,Senen,Jakarta Pusat,021 4219485 - 4265716,"Hasbullah, S.Pd, MM",Sosial dan Keagamaan,28 Mei 2014 s/d 27 Mei 2019
