Nama,Kabupaten,Kecamatan,Kelurahan,Luas,Jenis
Taman Hutan Kota Kampung Sawah, Jakarta Barat , Palmerah , Kemanggisan ,31945, Taman Kota 
Taman Medan Merdeka (Monas), Jakarta Pusat , Gambir , Gambir ,631448, Taman Kota 
Taman Menteng, Jakarta Pusat , Menteng , Menteng ,24546, Taman Kota 
Taman Suropati, Jakarta Pusat , Menteng , Menteng ,16328, Taman Kota 
Taman Situlembang, Jakarta Pusat , Menteng , Menteng ,14700, Taman Kota 
Taman Lapangan Banteng, Jakarta Pusat , Sawah Besar , Pasar Baru ,52790, Taman Kota 
Taman Ayodia, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,7497, Taman Kota 
Taman Hutan Kota Kebon Pisang Penjaringan, Jakarta Utara , Penjaringan , Pejagalan ,53506, Taman Kota 
Taman interaktif Jl. Lingkungan III RT 010 RW 003, Jakarta Barat , Kali Deres , Kamal ,797, Taman Interaktif 
Taman Interaktif RT 001 RW 006, Jakarta Barat , Kali Deres , Kamal ,1300, Taman Interaktif 
Taman interaktif Jl. Kamp.Belakang RT 001 RW 006, Jakarta Barat , Kali Deres , Kamal ,994, Taman Interaktif 
Taman interaktif Jl. Kampung Rende RT 001 RW 008, Jakarta Barat , Kali Deres , Kamal ,800, Taman Interaktif 
Taman interaktif Jl. Kamal RT 009 RW 003, Jakarta Barat , Kali Deres , Kamal ,1126, Taman Interaktif 
Taman interaktif Jl. Kramat Raya RT 001 RW 009, Jakarta Barat , Kali Deres , Semanan ,200, Taman Interaktif 
Taman interaktif Jl. Bakti Mulya RT 008 RW 002, Jakarta Barat , Kali Deres , Tegal Alur ,1200, Taman Interaktif 
Taman Interaktif Sangkrini, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,858, Taman Interaktif 
Taman Interaktif, Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,858, Taman Interaktif 
Taman Interaktif Joglo Blok F, Jakarta Barat , Kembangan , Joglo ,700, Taman Interaktif 
Taman Interaktif Jl.MT.Haryono No 21 RT 006 RW 004, Jakarta Barat , Palmerah , Kota Bambu Selatan ,262, Taman Interaktif 
Taman interaktif Jl. D RT 005 RW 005, Jakarta Barat , Palmerah , Kota Bambu Utara ,648, Taman Interaktif 
Taman interaktif Gg. Bahagia No.30 RT 011 RW 009, Jakarta Barat , Palmerah , Palmerah ,610, Taman Interaktif 
Taman Interaktif Swakarya Ujung RT 009 RW 017, Jakarta Barat , Palmerah , Palmerah ,300, Taman Interaktif 
Taman interaktif Jl. Kesederhanaan No.20A, Jakarta Barat , Taman Sari , Keagungan ,200, Taman Interaktif 
Taman interaktif Jl. Keadilan Dalam II RT 004 RW 002, Jakarta Barat , Taman Sari , Taman Sari ,300, Taman Interaktif 
