Tahun,Kabupaten,Kecamatan,Kelurahan,Status Perkawinan,Jumlah Penduduk,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Belum Kawin,3199,3199,2930,72,182
2015,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Belum Kawin,3216,3216,3141,57,151
2015,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Belum Kawin,1159,1159,1118,25,53
2015,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Belum Kawin,1107,1107,1069,17,61
2015,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Belum Kawin,2428,2428,2446,33,133
2015,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Belum Kawin,1379,1379,1483,35,41
2015,JAKARTA PUSAT,GAMBIR,GAMBIR,Belum Kawin,1572,1572,1571,28,109
2015,JAKARTA PUSAT,GAMBIR,CIDENG,Belum Kawin,9061,9061,9198,210,617
2015,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Belum Kawin,10574,10574,10102,182,720
2015,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Belum Kawin,8714,8714,7877,199,687
2015,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Belum Kawin,6181,6181,6072,185,385
2015,JAKARTA PUSAT,GAMBIR,DURI PULO,Belum Kawin,12253,12253,11723,154,758
2015,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Belum Kawin,7674,7674,7246,150,572
2015,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Belum Kawin,15928,15928,15824,272,985
2015,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Belum Kawin,13661,13661,13294,264,888
2015,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Belum Kawin,9543,9543,9641,221,725
2015,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Belum Kawin,16929,16929,16951,295,719
2015,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Belum Kawin,12504,12504,11964,225,648
2015,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Belum Kawin,17154,17154,16247,327,679
2015,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Belum Kawin,13719,13719,12970,331,967
2015,JAKARTA PUSAT,KEMAYORAN,SERDANG,Belum Kawin,17529,17529,17068,349,1341
2015,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Belum Kawin,11690,11690,10975,282,879
2015,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Belum Kawin,19329,19329,18833,359,1230
2015,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Belum Kawin,13292,13292,12946,303,981
2015,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Belum Kawin,17346,17346,17103,245,1029
2015,JAKARTA PUSAT,SENEN,SENEN,Belum Kawin,4366,4366,4015,81,201
2015,JAKARTA PUSAT,SENEN,KENARI,Belum Kawin,5510,5510,4912,127,335
2015,JAKARTA PUSAT,SENEN,PASEBAN,Belum Kawin,13928,13928,12654,385,1162
2015,JAKARTA PUSAT,SENEN,KRAMAT,Belum Kawin,17281,17281,15651,255,1269
2015,JAKARTA PUSAT,SENEN,KWITANG,Belum Kawin,9009,9009,8731,209,678
2015,JAKARTA PUSAT,SENEN,BUNGUR,Belum Kawin,10885,10885,11136,128,254
2015,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Belum Kawin,13324,13324,13718,354,945
2015,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Belum Kawin,19887,19887,19583,423,1359
2015,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Belum Kawin,12334,12334,11964,332,881
2015,JAKARTA PUSAT,MENTENG,MENTENG,Belum Kawin,14776,14776,14832,269,542
2015,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Belum Kawin,13557,13557,12905,294,1079
2015,JAKARTA PUSAT,MENTENG,CIKINI,Belum Kawin,4979,4979,4548,105,263
2015,JAKARTA PUSAT,MENTENG,GONDANGDIA,Belum Kawin,2254,2254,2386,91,167
2015,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Belum Kawin,7666,7666,7157,183,615
2015,JAKARTA PUSAT,TANAH ABANG,GELORA,Belum Kawin,1840,1840,1783,31,94
2015,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Belum Kawin,12339,12339,11718,390,1037
2015,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Belum Kawin,10963,10963,10700,246,776
