Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,1357,1456,1650,15,179,4,10,6,2,909,,3,,181,1,,72,66,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,103,,,,,,,2,6,8,,,,,,,,,,12,,,,94,33
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,1385,1596,1630,5,67,,9,2,2,1038,2,9,,200,,,15,197,,26,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,,,,,,1,7,7,,,,,1,,,,,9,,,,120,25
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,477,558,550,1,30,,2,,3,472,,3,,47,,,18,30,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,34,,,,,,,,,2,,,,,1,,,,,,,,,23,2
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,474,493,526,11,40,1,13,8,5,289,,4,,61,,,8,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,1,1,,,,,2,,,,,14,,,,128,29
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1066,1124,1183,11,110,,6,4,2,779,,10,,106,,1,75,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,3,8,,,,,19,,,,,14,,,,129,33
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,541,663,705,2,14,1,,2,4,581,,15,,22,,,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,1,3,4,,,,,1,,,,,1,,,,53,76
2013,JAKARTA PUSAT,GAMBIR,GAMBIR,356,588,802,87,88,148,2,2,2,,1,,,959,10,1,8,16,,,,2,,,,1,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,3,21,1,3,,,,2,10,3,3,,1,,,3,,4,,,44,,,,258,41
2013,JAKARTA PUSAT,GAMBIR,CIDENG,2123,3652,4157,255,173,14,205,6,2,,4,11,3,5730,27,5,16,153,1,,,2,,,,,,,2,,,,,8,7,,,,,,11,,11,,1,,2,,,,1,,,,,,,,,24,80,2,16,5,1,,5,85,3,8,1,,,,4,,53,,1,171,,,1,997,328
2013,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,2809,4298,4914,122,82,13,8,,2,,,1,,6978,18,,7,333,,,,8,,,,,,,8,,1,,2,10,9,,,1,,,21,28,6,1,,,,,,,,,,,,,,,,10,83,,4,5,4,2,5,65,3,5,1,,,,2,,69,,,279,,1,2,917,112
2013,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,2063,3297,3668,133,166,444,12,5,2,1,6,2,1,4924,22,2,,238,,,,9,,,,,,,7,,,,1,4,8,,,,,,12,1,5,,,,,,,,,,,,,,,,,12,61,,11,3,3,,3,59,4,5,,,,,3,,76,,1,108,,,,880,218
