Tahun,Kabupaten,Kecamatan,Kelurahan,0-4 Laki-Laki,0-4 Perempuan,5-9 Laki-Laki,5-9 Perempuan,10-14 Laki-Laki,10-14 Perempuan,15-19 Laki-Laki,15-19 Perempuan,20-24 Laki-Laki,20-24 Perempuan,25-29 Laki-Laki,25-29 Perempuan,30-34 Laki-Laki,30-34 Perempuan,35-39 Laki-Laki,35-39 Perempuan,40-44 Laki-Laki,40-44 Perempuan,45-49 Laki-Laki,45-49 Perempuan,50-54 Laki-Laki,50-54 Perempuan,55-59 Laki-Laki,55-59 Perempuan,60-64 Laki-Laki,60-64 Perempuan,65-69 Laki-Laki,65-69 Perempuan,70-74 Laki-Laki,70-74 Perempuan,>75 Laki-Laki,>75  Perempuan
2014,jakarta pusat,gambir,gambir,99,103,138,97,127,126,140,127,128,119,147,114,161,153,166,151,176,152,154,139,107,104,87,89,47,54,35,48,32,28,24,37
2014,jakarta pusat,gambir,cideng,623,576,646,676,708,679,632,639,693,629,741,690,847,868,772,753,770,792,781,708,691,639,581,562,371,432,225,279,161,221,181,313
2014,jakarta pusat,gambir,petojo utara,765,691,863,815,915,843,832,734,817,752,888,834,1024,950,957,966,947,899,808,753,750,698,570,574,435,436,271,267,143,213,181,293
2014,jakarta pusat,gambir,petojo selatan,616,600,655,609,708,648,643,591,842,615,861,644,813,758,746,709,694,687,684,631,584,586,483,447,318,365,200,228,117,157,150,232
2014,jakarta pusat,gambir,kebon kelapa,387,352,476,450,554,480,433,423,503,450,490,463,546,582,491,471,492,462,486,417,449,414,323,342,262,250,153,182,96,126,94,182
2014,jakarta pusat,gambir,duri pulo,945,926,1076,1040,1068,1008,957,907,971,905,1086,1005,1233,1185,1161,1093,1031,949,980,886,798,731,599,572,432,426,227,282,150,191,151,208
2014,jakarta pusat,sawah besar,pasar baru,486,418,533,516,538,531,540,502,473,484,631,613,722,730,645,645,627,610,591,606,528,524,478,468,409,449,294,275,146,200,149,264
2014,jakarta pusat,sawah besar,karang anyar,1299,1187,1419,1302,1345,1281,1171,1152,1211,1244,1424,1387,1707,1626,1542,1430,1385,1223,1225,1112,1084,1004,765,775,519,605,324,370,214,270,190,296
2014,jakarta pusat,sawah besar,kartini,949,943,1061,1089,1101,1094,1027,979,1003,1031,1137,1120,1275,1336,1224,1196,1138,1062,1043,1006,929,886,710,771,544,557,318,375,186,291,198,342
2014,jakarta pusat,sawah besar,gunung sahari utara,638,587,742,698,803,771,731,666,655,662,715,710,806,786,792,848,853,885,768,801,724,688,558,546,389,463,262,307,172,204,190,316
2014,jakarta pusat,sawah besar,mangga dua selatan,1368,1324,1424,1403,1399,1282,1249,1179,1331,1353,1556,1670,1938,1759,1760,1578,1565,1303,1352,1141,1163,1040,815,757,625,566,344,344,206,270,177,304
2014,jakarta pusat,kemayoran,kemayoran,966,903,1078,989,1043,1060,917,923,924,891,1059,1035,1244,1161,1101,1063,1036,935,1020,862,839,749,634,610,446,452,233,275,162,212,166,235
2014,jakarta pusat,kemayoran,kebon kosong,1348,1316,1529,1506,1498,1404,1263,1153,1108,1159,1176,1275,1490,1651,1559,1497,1457,1311,1216,1113,923,875,677,660,470,470,284,292,181,184,125,195
2014,jakarta pusat,kemayoran,harapan mulia,1117,1059,1268,1217,1198,1102,1062,951,979,934,1079,1094,1386,1305,1269,1226,1189,1127,1061,930,803,740,573,650,397,393,224,284,157,183,101,189
2014,jakarta pusat,kemayoran,serdang,1520,1403,1668,1539,1736,1635,1424,1361,1220,1205,1210,1299,1537,1603,1586,1628,1745,1676,1600,1377,983,960,687,673,468,546,274,386,285,316,236,233
2014,jakarta pusat,kemayoran,gunung sahari selatan,903,835,970,899,1011,953,885,868,866,822,892,915,1093,1048,977,1002,1009,957,911,882,790,745,643,612,423,487,272,312,184,201,137,227
2014,jakarta pusat,kemayoran,cempaka baru,1591,1472,1817,1657,1816,1654,1484,1467,1363,1332,1434,1455,1785,1795,1843,1874,1820,1691,1560,1461,1133,1050,805,785,554,612,324,487,297,309,217,241
2014,jakarta pusat,kemayoran,sumur batu,1084,981,1272,1203,1191,1127,981,908,914,848,1044,1039,1318,1418,1388,1369,1265,1256,1024,904,757,726,544,643,428,484,284,344,235,221,141,173
2014,jakarta pusat,kemayoran,utan panjang,1454,1362,1625,1512,1678,1552,1355,1230,1348,1286,1469,1361,1637,1642,1574,1514,1460,1308,1342,1190,989,970,755,720,472,414,209,305,163,219,153,188
2014,jakarta pusat,senen,senen,326,297,397,338,321,339,279,279,285,314,425,371,460,401,453,378,355,324,292,280,266,242,212,189,168,133,92,85,42,52,38,75
2014,jakarta pusat,senen,kenari,357,340,441,375,448,406,418,418,438,365,476,415,504,463,467,427,435,454,417,437,388,376,287,264,196,201,119,123,74,89,64,109
2014,jakarta pusat,senen,paseban,1103,1002,1179,1090,1151,1128,1080,1001,1043,1083,1236,1196,1386,1274,1258,1137,1176,1082,1094,1061,925,972,716,672,496,472,227,291,155,176,135,234
2014,jakarta pusat,senen,kramat,1388,1294,1600,1463,1644,1475,1490,1295,1406,1288,1538,1406,1695,1558,1567,1499,1464,1299,1297,1230,1125,1015,788,762,537,511,299,371,186,263,180,233
2014,jakarta pusat,senen,kwitang,751,719,822,717,765,720,665,719,667,639,762,727,934,886,833,791,729,664,661,631,565,589,439,455,335,368,170,219,105,154,107,184
2014,jakarta pusat,senen,bungur,824,788,931,861,922,908,789,797,866,855,1030,893,1092,1037,1008,922,938,862,852,814,708,688,524,565,411,402,229,264,152,175,122,216
2014,jakarta pusat,cempaka putih,cempaka putih timur,1030,953,1161,1084,1142,1110,1045,1021,923,882,1086,1046,1273,1240,1277,1371,1363,1345,1264,1078,901,912,590,671,511,503,268,391,256,314,270,283
2014,jakarta pusat,cempaka putih,cempaka putih barat,1669,1532,1824,1722,1877,1745,1546,1487,1426,1367,1537,1565,1832,1814,1818,1886,1853,1801,1662,1544,1223,1192,887,903,611,610,307,457,283,324,259,282
2014,jakarta pusat,cempaka putih,rawasari,973,934,1109,972,1075,1015,914,972,922,872,975,1013,1198,1214,1195,1208,1167,1188,1036,1000,836,798,635,607,398,403,223,264,175,215,159,200
2014,jakarta pusat,menteng,menteng,1172,1131,1225,1145,1291,1258,1228,1107,1153,1127,1193,1193,1349,1348,1244,1239,1195,1165,1073,1161,1011,1038,814,775,519,488,300,296,171,214,182,348
2014,jakarta pusat,menteng,pegangsaan,1044,1009,1184,1126,1248,1217,1117,1038,1003,1021,1117,973,1178,1199,1127,1131,1151,1080,1082,1038,886,919,707,691,481,450,257,280,153,203,120,229
2014,jakarta pusat,menteng,cikini,391,331,400,351,376,393,375,327,383,368,399,371,461,423,437,436,372,413,395,391,351,356,269,258,172,199,97,122,60,71,67,99
2014,jakarta pusat,menteng,gondangdia,155,137,151,141,150,164,150,167,177,161,175,197,175,194,174,215,190,203,179,191,181,178,153,169,100,137,87,110,71,69,70,130
2014,jakarta pusat,menteng,kebon sirih,610,509,679,609,646,633,621,520,554,574,702,600,767,722,737,658,695,613,623,532,522,452,413,376,278,287,153,186,94,124,63,124
2014,jakarta pusat,tanah abang,gelora,132,134,144,147,139,132,132,138,110,139,140,132,159,169,176,177,174,174,165,133,111,116,96,76,75,63,34,50,22,32,28,28
2014,jakarta pusat,tanah abang,bendungan hilir,861,841,1055,989,1036,1005,994,914,938,870,909,943,1038,1094,1126,1064,1150,1167,1113,1073,959,897,627,602,410,399,211,295,158,253,234,340
2014,jakarta pusat,tanah abang,karet tengsin,930,902,1035,972,1006,893,825,799,779,731,878,860,1113,1126,1135,1064,1053,957,919,698,610,595,518,439,322,301,170,201,129,133,80,102
2014,jakarta pusat,tanah abang,petamburan,1845,1675,1872,1793,1922,1759,1653,1506,1582,1502,1718,1749,2054,1887,1855,1679,1643,1447,1440,1337,1188,1073,828,713,489,490,263,330,174,234,138,182
2014,jakarta pusat,tanah abang,kebon melati,1741,1697,1941,1705,1741,1751,1604,1496,1580,1617,1865,1656,2013,1866,1835,1653,1666,1462,1490,1307,1096,1064,894,765,550,497,281,301,178,226,145,210
