Tahun,Kabupaten,Kecamatan,Kelurahan,Tidak/Belum Sekolah,Tidak/Belum Tatam SD,SD ,SMP ,SMA ,D1/D2,D3,S1/D4,S2,S3
2014,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,1365,571,1679,874,1594,27,60,184,4,
2014,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,1297,570,2179,1136,1106,15,38,108,8,
2014,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,428,193,818,338,401,13,17,32,,
2014,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,488,197,656,322,446,8,19,44,3,
2014,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1036,458,1411,792,1023,54,66,198,4,
2014,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,520,318,1139,372,409,9,18,33,3,
2014,JAKARTA PUSAT,GAMBIR,GAMBIR,378,293,266,383,1445,22,178,412,30,2
2014,JAKARTA PUSAT,GAMBIR,CIDENG,2347,1689,1042,2061,7627,43,783,3056,216,15
2014,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,2967,2245,1748,2724,9068,52,790,2124,153,13
2014,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,2255,1715,1248,1872,7617,67,799,1858,177,13
2014,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,1552,1167,1081,1681,5217,26,377,1099,76,5
2014,JAKARTA PUSAT,GAMBIR,DURI PULO,3957,2407,2854,3591,10158,74,503,1562,69,4
2014,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1803,1328,1215,2085,6093,40,629,2254,165,13
2014,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,4628,3292,4928,6147,11728,85,645,1567,65,3
2014,JAKARTA PUSAT,SAWAH BESAR,KARTINI,3665,2796,3453,4383,10770,61,824,1856,107,6
2014,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,2311,1656,1851,2636,7758,61,677,2597,173,16
2014,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,5168,3224,4153,6175,14097,82,767,1788,81,10
2014,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,3988,2428,2379,3709,10300,44,672,1645,56,2
2014,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,5469,3211,3054,3135,14046,74,948,2229,181,18
2014,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,3914,3013,2727,2812,11278,88,1065,2198,143,9
2014,JAKARTA PUSAT,KEMAYORAN,SERDANG,5825,3830,2953,3888,15047,159,1232,2932,147,6
2014,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,3357,2372,1818,3294,9631,54,876,2220,102,7
2014,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,5866,4377,2985,4291,15476,193,1732,3981,267,17
2014,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,3841,2870,2725,3099,9026,130,1410,4025,369,19
2014,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,5452,3965,3913,4860,13710,80,817,1581,75,3
2014,JAKARTA PUSAT,SENEN,SENEN,1325,759,935,1234,3040,21,289,806,97,2
2014,JAKARTA PUSAT,SENEN,KENARI,1393,975,734,1130,4476,56,616,1270,124,17
2014,JAKARTA PUSAT,SENEN,PASEBAN,3971,2587,2333,3250,11047,133,1409,3182,288,31
2014,JAKARTA PUSAT,SENEN,KRAMAT,5730,2611,4818,5400,13044,89,1037,2286,138,13
2014,JAKARTA PUSAT,SENEN,KWITANG,2703,1829,2409,2451,6789,59,607,1514,124,7
2014,JAKARTA PUSAT,SENEN,BUNGUR,3249,2108,1952,2897,9588,81,726,1738,100,6
2014,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,3754,2590,1747,2863,9648,110,1171,5955,669,57
2014,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,6117,4371,3008,4336,15256,371,2101,4715,533,37
2014,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,3629,2464,1629,2269,9795,156,1524,3849,508,42
2014,JAKARTA PUSAT,MENTENG,MENTENG,4464,2771,3029,4016,10914,100,964,3415,423,57
2014,JAKARTA PUSAT,MENTENG,PEGANGSAAN,3973,2859,2787,3470,10436,71,1099,2479,248,37
2014,JAKARTA PUSAT,MENTENG,CIKINI,1354,878,625,1212,3740,31,520,1371,171,12
2014,JAKARTA PUSAT,MENTENG,GONDANGDIA,527,334,137,298,1274,18,285,1675,316,37
2014,JAKARTA PUSAT,MENTENG,KEBON SIRIH,2243,1415,1911,2160,5860,58,566,1324,131,8
2014,JAKARTA PUSAT,TANAH ABANG,GELORA,508,344,250,379,1455,13,176,485,60,7
