Tahun,Kabupaten,Kecamatan,Kelurahan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,kab.adm.kep.seribu,kep. seribu utr,p. panggang,3199,2930,72,182
2015,kab.adm.kep.seribu,kep. seribu utr,p. kelapa,3216,3141,57,151
2015,kab.adm.kep.seribu,kep. seribu utr,p. harapan,1159,1118,25,53
2015,kab.adm.kep.seribu,kep. seribu slt,p. untung jawa,1107,1069,17,61
2015,kab.adm.kep.seribu,kep. seribu slt,p. tidung,2428,2446,33,133
2015,kab.adm.kep.seribu,kep. seribu slt,p. pari,1379,1483,35,41
2015,jakarta pusat,gambir,gambir,1572,1571,28,109
2015,jakarta pusat,gambir,cideng,9061,9198,210,617
2015,jakarta pusat,gambir,petojo utara,10574,10102,182,720
2015,jakarta pusat,gambir,petojo selatan,8714,7877,199,687
2015,jakarta pusat,gambir,kebon kelapa,6181,6072,185,385
2015,jakarta pusat,gambir,duri pulo,12253,11723,154,758
2015,jakarta pusat,sawah besar,pasar baru,7674,7246,150,572
2015,jakarta pusat,sawah besar,karang anyar,15928,15824,272,985
2015,jakarta pusat,sawah besar,kartini,13661,13294,264,888
2015,jakarta pusat,sawah besar,gunung sahari utara,9543,9641,221,725
2015,jakarta pusat,sawah besar,mangga dua selatan,16929,16951,295,719
2015,jakarta pusat,kemayoran,kemayoran,12504,11964,225,648
2015,jakarta pusat,kemayoran,kebon kosong,17154,16247,327,679
2015,jakarta pusat,kemayoran,harapan mulia,13719,12970,331,967
2015,jakarta pusat,kemayoran,serdang,17529,17068,349,1341
2015,jakarta pusat,kemayoran,gunung sahari selatan,11690,10975,282,879
2015,jakarta pusat,kemayoran,cempaka baru,19329,18833,359,1230
2015,jakarta pusat,kemayoran,sumur batu,13292,12946,303,981
2015,jakarta pusat,kemayoran,utan panjang,17346,17103,245,1029
2015,jakarta pusat,senen,senen,4366,4015,81,201
2015,jakarta pusat,senen,kenari,5510,4912,127,335
2015,jakarta pusat,senen,paseban,13928,12654,385,1162
2015,jakarta pusat,senen,kramat,17281,15651,255,1269
2015,jakarta pusat,senen,kwitang,9009,8731,209,678
2015,jakarta pusat,senen,bungur,10885,11136,128,254
2015,jakarta pusat,cempaka putih,cempaka putih timur,13324,13718,354,945
2015,jakarta pusat,cempaka putih,cempaka putih barat,19887,19583,423,1359
2015,jakarta pusat,cempaka putih,rawasari,12334,11964,332,881
2015,jakarta pusat,menteng,menteng,14776,14832,269,542
2015,jakarta pusat,menteng,pegangsaan,13557,12905,294,1079
2015,jakarta pusat,menteng,cikini,4979,4548,105,263
2015,jakarta pusat,menteng,gondangdia,2254,2386,91,167
2015,jakarta pusat,menteng,kebon sirih,7666,7157,183,615
2015,jakarta pusat,tanah abang,gelora,1840,1783,31,94
2015,jakarta pusat,tanah abang,bendungan hilir,12339,11718,390,1037
2015,jakarta pusat,tanah abang,karet tengsin,10963,10700,246,776
2015,jakarta pusat,tanah abang,petamburan,20290,18789,280,837
2015,jakarta pusat,tanah abang,kebon melati,19501,17312,390,1200
2015,jakarta pusat,tanah abang,kebon kacang,12758,12219,268,712
2015,jakarta pusat,tanah abang,kampung bali,7143,6636,156,501
2015,jakarta pusat,johar baru,johar baru,21859,20255,523,1662
2015,jakarta pusat,johar baru,kampung rawa,12936,12205,255,737
2015,jakarta pusat,johar baru,galur,10736,10427,200,651
2015,jakarta pusat,johar baru,tanah tinggi,22763,20686,442,1814
2015,jakarta utara,penjaringan,penjaringan,57681,57677,705,1917
2015,jakarta utara,penjaringan,kamal muara,6347,6166,152,259
2015,jakarta utara,penjaringan,kapuk muara,18179,17492,235,642
2015,jakarta utara,penjaringan,pejagalan,43494,43638,334,758
2015,jakarta utara,penjaringan,pluit,23576,24267,380,1042
2015,jakarta utara,tanjung priok,tanjung priok,20162,20005,379,1187
2015,jakarta utara,tanjung priok,sunter jaya,33921,34736,424,1575
2015,jakarta utara,tanjung priok,papanggo,22667,21749,285,1162
2015,jakarta utara,tanjung priok,sungai bambu,17757,16102,325,1418
2015,jakarta utara,tanjung priok,kebon bawang,30029,27732,641,1981
2015,jakarta utara,tanjung priok,sunter agung,39172,39222,682,1960
2015,jakarta utara,tanjung priok,warakas,25881,24319,425,1352
2015,jakarta utara,koja,koja,17389,15908,359,1168
2015,jakarta utara,koja,tugu utara,39741,37637,560,1734
2015,jakarta utara,koja,lagoa,34523,31770,581,2050
2015,jakarta utara,koja,rawa badak utara,20248,19273,362,1188
2015,jakarta utara,koja,tugu selatan,23601,21940,297,862
2015,jakarta utara,koja,rawa badak selatan,23750,22512,289,1137
2015,jakarta utara,cilincing,cilincing,25525,23790,361,1123
2015,jakarta utara,cilincing,sukapura,31611,32273,360,735
2015,jakarta utara,cilincing,marunda,14918,13655,234,658
2015,jakarta utara,cilincing,kali baru,42846,37779,998,1971
2015,jakarta utara,cilincing,semper timur,20521,19030,325,1008
2015,jakarta utara,cilincing,rorotan,21528,20395,206,793
2015,jakarta utara,cilincing,semper barat,38747,37159,445,1840
2015,jakarta utara,pademangan,pademangan timur,20610,20571,285,1060
2015,jakarta utara,pademangan,pademangan barat,43651,43134,539,1399
2015,jakarta utara,pademangan,ancol,14912,14943,227,526
2015,jakarta utara,kelapa gading,kelapa gading timur,17571,18803,350,1165
2015,jakarta utara,kelapa gading,pegangsaan dua,25557,26859,351,1055
2015,jakarta utara,kelapa gading,kelapa gading barat,19027,19388,415,989
2015,jakarta barat,cengkareng,cengkareng barat,36603,35005,362,1005
2015,jakarta barat,cengkareng,duri kosambi,42402,40909,291,842
2015,jakarta barat,cengkareng,rawa buaya,33563,34489,180,340
2015,jakarta barat,cengkareng,kedaung kali angke,17385,18502,109,248
2015,jakarta barat,cengkareng,kapuk,71934,74250,591,1416
2015,jakarta barat,cengkareng,cengkareng timur,43357,42661,496,1154
2015,jakarta barat,grogol petamburan,grogol,9335,9580,205,566
2015,jakarta barat,grogol petamburan,tanjung duren utara,9255,9410,187,586
2015,jakarta barat,grogol petamburan,tomang,16468,16829,246,564
2015,jakarta barat,grogol petamburan,jelambar,16546,17148,241,673
2015,jakarta barat,grogol petamburan,tanjung duren selatan,13591,13396,276,844
2015,jakarta barat,grogol petamburan,jelambar baru,21321,21718,268,927
2015,jakarta barat,grogol petamburan,wijaya kusuma,21500,22298,245,740
2015,jakarta barat,taman sari,taman sari,8199,8206,215,486
2015,jakarta barat,taman sari,krukut,10976,11084,107,322
2015,jakarta barat,taman sari,maphar,9944,9033,220,534
2015,jakarta barat,taman sari,tangki,7370,7432,156,322
2015,jakarta barat,taman sari,mangga besar,4319,4385,65,167
2015,jakarta barat,taman sari,keagungan,9920,10135,161,243
2015,jakarta barat,taman sari,glodok,4216,4133,90,283
2015,jakarta barat,taman sari,pinangsia,6160,6422,92,90
2015,jakarta barat,tambora,tambora,6088,6079,84,191
2015,jakarta barat,tambora,kali anyar,14209,13862,164,421
2015,jakarta barat,tambora,duri utara,12004,11339,167,523
2015,jakarta barat,tambora,tanah sereal,15233,14390,201,868
2015,jakarta barat,tambora,kerendang,11719,11392,79,212
2015,jakarta barat,tambora,jembatan besi,17861,17105,185,311
2015,jakarta barat,tambora,angke,17665,17432,231,656
2015,jakarta barat,tambora,jembatan lima,12164,11859,160,629
2015,jakarta barat,tambora,pekojan,13458,12721,253,999
2015,jakarta barat,tambora,roa malaka,1904,1962,50,123
2015,jakarta barat,tambora,duri selatan,8348,8232,108,284
