Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,jakarta pusat,gambir,gambir,356,588,802,87,88,148,2,2,2,0,1,0,0,959,10,1,8,16,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,3,0,0,0,2,10,3,3,0,1,0,0,3,0,4,0,0,44,0,0,0,258,41
2013,jakarta pusat,gambir,cideng,2123,3652,4157,255,173,14,205,6,2,0,4,11,3,5730,27,5,16,153,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,8,7,0,0,0,0,0,11,0,11,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,24,80,2,16,5,1,0,5,85,3,8,1,0,0,0,4,0,53,0,1,171,0,0,1,997,328
2013,jakarta pusat,gambir,petojo utara,2809,4298,4914,122,82,13,8,0,2,0,0,1,0,6978,18,0,7,333,0,0,0,8,0,0,0,0,0,0,8,0,1,0,2,10,9,0,0,1,0,0,21,28,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83,0,4,5,4,2,5,65,3,5,1,0,0,0,2,0,69,0,0,279,0,1,2,917,112
2013,jakarta pusat,gambir,petojo selatan,2063,3297,3668,133,166,444,12,5,2,1,6,2,1,4924,22,2,0,238,0,0,0,9,0,0,0,0,0,0,7,0,0,0,1,4,8,0,0,0,0,0,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,61,0,11,3,3,0,3,59,4,5,0,0,0,0,3,0,76,0,1,108,0,0,0,880,218
2013,jakarta pusat,gambir,kebon kelapa,1561,2650,2919,64,60,10,5,1,2,0,1,5,0,3620,15,1,2,310,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,1,0,6,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,11,31,0,6,0,0,0,0,22,1,1,0,0,0,0,1,0,37,0,0,176,0,0,23,684,135
2013,jakarta pusat,gambir,duri pulo,3811,5432,5904,159,391,15,14,0,2,0,5,4,3,7125,35,0,12,429,0,0,0,6,1,0,0,0,0,0,24,2,0,0,0,9,3,0,0,1,0,0,8,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,143,0,0,2,0,0,4,27,6,11,0,1,0,0,0,0,176,0,0,388,0,0,1,1173,299
2013,jakarta pusat,sawah besar,pasar baru,1925,3354,3224,66,60,69,4,1,2,1,2,2,0,4221,10,0,11,263,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,2,0,20,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,65,0,7,5,2,0,3,66,0,1,0,0,0,0,0,1,73,0,0,427,0,0,23,994,170
2013,jakarta pusat,sawah besar,karang anyar,4408,7198,7212,53,84,22,16,3,2,0,0,2,1,9020,9,1,5,1099,0,2,0,6,0,0,0,0,0,0,8,0,0,0,0,9,2,0,0,0,0,0,8,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,117,0,4,1,0,0,0,27,5,7,1,0,0,0,4,0,90,0,0,193,0,0,1,2232,327
2013,jakarta pusat,sawah besar,kartini,3504,6139,6107,120,69,26,11,0,3,1,5,6,2,8124,7,0,4,697,1,0,0,2,0,0,0,0,0,0,17,0,2,0,1,8,10,1,0,0,0,0,20,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,0,8,0,1,1,2,35,1,11,0,0,0,0,6,0,159,0,0,309,0,0,12,1612,249
2013,jakarta pusat,sawah besar,gunung sahari utara,2241,4249,4472,248,92,25,5,1,2,1,8,3,0,5960,48,0,2,450,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,3,5,0,0,0,1,0,14,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,89,8,15,1,2,0,2,63,0,3,1,0,0,0,6,1,49,0,0,213,0,0,0,1089,207
