Tahun,Kabupaten,Kecamatan,Kelurahan,Islam,Kristen,Katholik,Hindu,Budha,Khonghuchu,Aliran Kepercayaan
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,6159,9,,,1,,
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,6405,1,,,3,,
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,2251,2,,,,,
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,2139,,,,,,
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,4841,1,,,,,
2013,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,2734,1,,,,,
2013,JAKARTA PUSAT,GAMBIR,GAMBIR,2606,701,143,23,7,,
2013,JAKARTA PUSAT,GAMBIR,CIDENG,11260,3120,2452,73,1455,4,1
2013,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,14781,2983,1743,14,1725,,1
2013,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,12423,2005,1244,50,755,,1
2013,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,8707,1680,922,77,992,,
2013,JAKARTA PUSAT,GAMBIR,DURI PULO,19695,2462,1531,4,1951,1,
2013,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,6780,3587,1635,591,2508,8,
2013,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,21905,3839,1989,24,4427,2,
2013,JAKARTA PUSAT,SAWAH BESAR,KARTINI,15412,5419,2820,59,3706,2,
2013,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,9794,4578,2446,204,2598,3,
2013,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,21723,4681,2359,23,4927,14,
2013,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,18205,3021,1428,127,1512,3,1
2013,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,26611,2736,1018,107,1112,11,3
2013,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,24109,1450,490,34,488,1,
2013,JAKARTA PUSAT,KEMAYORAN,SERDANG,31405,1314,781,194,610,,
2013,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,16505,3545,1423,300,1440,4,
2013,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,32984,3011,1038,133,534,,4
2013,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,22124,3033,1021,69,481,,1
2013,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,31398,1092,396,50,539,1,
2013,JAKARTA PUSAT,SENEN,SENEN,5101,1923,665,103,418,1,
2013,JAKARTA PUSAT,SENEN,KENARI,7552,2337,666,50,91,1,
2013,JAKARTA PUSAT,SENEN,PASEBAN,24520,1621,845,65,213,,
2013,JAKARTA PUSAT,SENEN,KRAMAT,28279,3111,1399,35,982,7,
2013,JAKARTA PUSAT,SENEN,KWITANG,15065,1501,1096,2,659,1,
2013,JAKARTA PUSAT,SENEN,BUNGUR,16467,2965,1314,39,1240,1,23
2013,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,22297,3179,1220,338,282,,
2013,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,35105,2801,1271,115,418,,
2013,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,22054,1903,740,76,153,1,
2013,JAKARTA PUSAT,MENTENG,MENTENG,25754,1902,1112,79,338,1,
2013,JAKARTA PUSAT,MENTENG,PEGANGSAAN,24625,1528,373,25,53,,2
2013,JAKARTA PUSAT,MENTENG,CIKINI,8037,1029,377,22,132,,
2013,JAKARTA PUSAT,MENTENG,GONDANGDIA,2337,1100,858,137,205,,2
2013,JAKARTA PUSAT,MENTENG,KEBON SIRIH,13583,919,563,30,319,,1
2013,JAKARTA PUSAT,TANAH ABANG,GELORA,2472,509,493,8,262,4,
2013,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,21954,1985,1117,42,195,2,
2013,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,19398,1104,565,28,176,2,
2013,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,36289,1853,482,33,249,,
2013,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,36277,1539,498,34,150,,
2013,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,21312,2058,1053,31,774,2,
2013,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,12301,926,709,1,614,2,
2013,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,35127,4301,1717,68,755,1,
2013,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,23297,1488,584,15,450,,2
2013,JAKARTA PUSAT,JOHAR BARU,GALUR,18804,1591,565,,376,,
2013,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,37974,3599,1562,12,981,1,1
2013,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,94179,5947,1999,55,8673,6,2
2013,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,8811,1046,570,22,1584,1,
2013,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,15851,4552,2458,11,11335,12,
2013,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,38749,14188,4904,85,32004,29,
2013,JAKARTA UTARA,PENJARINGAN,PLUIT,15698,9953,6433,27,16727,16,1
2013,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,39242,3624,490,35,175,,
2013,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,50172,8393,5347,688,4554,8,
2013,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,37675,4528,1962,209,1364,,
2013,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,30022,4999,689,26,184,,
2013,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,53309,7547,1109,57,173,,
2013,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,48615,12500,8923,1254,9896,19,
2013,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,48074,4427,1098,54,176,,
2013,JAKARTA UTARA,KOJA,KOJA,33705,1040,382,26,284,,
2013,JAKARTA UTARA,KOJA,TUGU UTARA,73651,5578,1339,37,266,,
2013,JAKARTA UTARA,KOJA,LAGOA,64654,3120,979,19,912,1,
2013,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,38990,2186,441,38,50,,
2013,JAKARTA UTARA,KOJA,TUGU SELATAN,36499,4780,1017,10,227,1,1
2013,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,41175,5369,537,7,47,1,
2013,JAKARTA UTARA,CILINCING,CILINCING,47960,3436,544,153,474,1,1
2013,JAKARTA UTARA,CILINCING,SUKAPURA,57571,5286,1591,60,569,10,
2013,JAKARTA UTARA,CILINCING,MARUNDA,23390,947,158,36,59,1,
2013,JAKARTA UTARA,CILINCING,KALI BARU,82683,1367,236,64,316,,
2013,JAKARTA UTARA,CILINCING,SEMPER TIMUR,35708,3782,698,113,35,,
2013,JAKARTA UTARA,CILINCING,ROROTAN,39178,1467,309,57,47,,
2013,JAKARTA UTARA,CILINCING,SEMPER BARAT,68714,8534,1612,164,903,,
2013,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,20218,6554,6167,22,9392,32,
2013,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,66779,8635,3382,45,9188,11,
2013,JAKARTA UTARA,PADEMANGAN,ANCOL,24003,1790,1063,79,1764,,
2013,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,15220,9928,8868,139,3456,9,1
2013,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,27467,10622,9843,101,3532,7,
2013,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,22082,7911,5977,299,2229,3,
2013,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,49426,9106,3984,25,7350,5,
2013,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,63963,7316,4941,47,3524,6,
2013,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,55874,6321,4562,37,2711,11,
2013,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,33419,3116,540,39,561,4,
2013,JAKARTA BARAT,CENGKARENG,KAPUK,127496,12206,2975,143,7370,5,
2013,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,71214,8927,2572,122,3830,5,2
2013,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,14063,2704,2553,6,1355,7,1
2013,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,9921,3953,3861,61,2415,14,
2013,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,24109,4469,3852,70,1511,14,2
2013,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,18088,6018,5166,49,6120,10,
2013,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,17451,4434,3811,74,2209,13,
2013,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,20097,6801,2991,24,14388,5,
2013,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,28841,5668,2920,46,7122,2,
2013,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,9452,3016,2193,12,3297,3,
2013,JAKARTA BARAT,TAMAN SARI,KRUKUT,17156,2567,1088,5,2333,,
2013,JAKARTA BARAT,TAMAN SARI,MAPHAR,12015,3206,1926,19,3296,1,
2013,JAKARTA BARAT,TAMAN SARI,TANGKI,7543,3689,1531,16,3431,2,
2013,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,3655,2317,1007,8,2128,1,
2013,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,15272,1896,892,15,2973,3,
2013,JAKARTA BARAT,TAMAN SARI,GLODOK,1817,1892,1376,6,4078,,
2013,JAKARTA BARAT,TAMAN SARI,PINANGSIA,7816,1906,787,5,2708,,
2013,JAKARTA BARAT,TAMBORA,TAMBORA,7628,1268,791,4,3011,,
2013,JAKARTA BARAT,TAMBORA,KALI ANYAR,23247,1400,594,12,4876,4,
2013,JAKARTA BARAT,TAMBORA,DURI UTARA,12267,3160,1019,7,7608,7,
2013,JAKARTA BARAT,TAMBORA,TANAH SEREAL,16634,3982,2120,4,8151,8,
2013,JAKARTA BARAT,TAMBORA,KERENDANG,14660,1872,834,9,6322,13,1
2013,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,26350,1935,689,13,7548,6,1
2013,JAKARTA BARAT,TAMBORA,ANGKE,22038,4076,1304,16,7613,4,
2013,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,14540,3249,1267,1,6024,7,
2013,JAKARTA BARAT,TAMBORA,PEKOJAN,13417,4485,1652,15,7982,1,
2013,JAKARTA BARAT,TAMBORA,ROA MALAKA,1484,886,530,9,1466,,
2013,JAKARTA BARAT,TAMBORA,DURI SELATAN,9936,2391,1433,1,3642,9,
2013,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,48105,3805,3421,66,943,7,
2013,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,40208,1185,644,32,229,,
2013,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,39981,1018,364,42,249,,
2013,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,23785,1203,740,58,153,,
2013,JAKARTA BARAT,KEBON JERUK,DURI KEPA,38523,11965,9359,117,6174,23,1
